CMDLINE /usr/bin/python main-copy2.py
MEM 128.660156 1543574999.4102
MEM 128.660156 1543574999.5108
MEM 128.660156 1543574999.6113
MEM 128.660156 1543574999.7118
MEM 128.660156 1543574999.8123
MEM 128.660156 1543574999.9128
MEM 128.660156 1543575000.0134
MEM 128.660156 1543575000.1139
MEM 128.660156 1543575000.2144
MEM 128.660156 1543575000.3149
MEM 128.660156 1543575000.4153
MEM 128.660156 1543575000.5158
MEM 128.660156 1543575000.6162
MEM 128.660156 1543575000.7166
MEM 128.660156 1543575000.8171
MEM 128.660156 1543575000.9176
MEM 128.660156 1543575001.0181
MEM 128.660156 1543575001.1186
MEM 128.660156 1543575001.2191
MEM 128.660156 1543575001.3195
MEM 128.660156 1543575001.4199
MEM 128.660156 1543575001.5204
MEM 128.660156 1543575001.6208
MEM 128.660156 1543575001.7214
